"condition|snow"|"condition|trail"|"condition|bugs"|"condition|road"
0|True|True|False|False
1|False|True|False|False
2|True|True|False|False
3|True|True|False|False
4|False|True|False|False
5|True|False|False|False
6|False|False|False|False
7|True|True|False|True
8|True|True|False|True
9|True|True|False|False
10|True|True|False|False
11|True|True|False|False
12|True|False|False|False
13|True|True|False|False
14|True|True|False|False
15|True|True|False|False
16|True|True|False|False
17|False|False|False|False
18|True|True|False|False
19|True|True|False|False
20|True|True|False|False
21|True|False|False|False
22|True|False|False|False
23|True|False|False|False
24|True|True|False|False
25|False|True|False|False
26|True|False|False|True
27|False|False|False|False
28|False|False|False|False
29|False|False|False|False
30|False|False|False|False
31|False|False|False|False
32|False|False|True|False
33|False|False|False|False
34|False|False|False|False
35|False|False|True|False
36|False|False|False|False
37|False|False|False|False
38|False|False|False|False
39|False|True|False|False
40|False|False|False|False
41|True|True|False|False
42|True|True|False|False
43|True|False|False|False
44|True|False|False|True
45|True|True|False|False
46|True|True|False|True
47|True|False|False|True
48|True|False|False|True
49|True|False|False|True
50|True|False|False|True
51|True|True|False|True
52|True|False|False|True
53|True|False|False|True
54|True|True|False|True
55|True|True|False|True
56|True|False|False|True
57|True|False|False|True
58|True|False|False|True
59|True|False|False|True
60|True|False|False|True
61|True|True|False|True
62|True|False|False|True
63|True|True|False|False
64|True|True|False|False
65|True|False|False|False
66|True|False|False|False
67|True|False|False|True
68|False|False|False|True
69|False|True|False|True
70|False|True|False|True
71|False|True|False|True
72|False|False|False|False
73|False|False|True|False
74|False|False|True|False
75|False|False|True|False
76|False|False|False|False
77|False|False|True|False
78|False|False|True|False
79|False|True|False|False
80|False|True|False|False
81|False|False|False|False
82|False|False|False|False
83|False|True|False|False
84|False|True|False|False
85|False|False|False|False
86|False|False|True|False
87|False|False|False|False
88|False|False|False|False
89|False|False|False|False
90|False|False|False|False
91|False|False|False|False
92|False|False|False|False
93|False|True|False|False
94|False|False|False|False
95|False|False|False|False
96|True|False|False|False
97|True|False|True|False
98|True|True|False|False
99|True|False|False|False
100|False|True|False|False
101|True|True|False|False
102|True|True|False|False
103|False|True|False|False
104|True|True|False|False
105|True|True|False|False
106|True|True|False|False
107|True|True|False|True
108|True|True|False|True
109|True|True|False|True
110|True|False|False|False
111|True|True|False|False
112|True|True|False|True
113|True|True|False|True
114|True|True|False|False
115|True|False|False|False
116|True|True|False|False
117|True|False|False|False
118|True|False|False|False
119|False|False|False|False
120|False|True|False|False
121|False|False|False|False
122|False|True|False|False
123|False|False|False|False
124|False|False|False|False
125|False|False|False|False
126|False|False|False|False
127|False|True|False|False
128|False|False|False|False
129|False|True|False|False
130|False|False|False|False
131|False|True|False|False
132|False|False|False|False
133|False|False|False|False
134|False|False|False|False
